Comment,Designator,Footprint,LCSC,Quantity
SI7232DN-T1,U16,PowerPak1212-8-Dual,,1
SI7232DN-T1,U8,PowerPak1212-8-Dual,,1
Buzzer,BZ1,Buzzer_CUI_CPT-9019S-SMT,,1
LED,5V_PWR1,LED_0603_1608Metric,,1
220R,R36,R_0402_1005Metric,,1
LED,3V3_PWR1,LED_0603_1608Metric,,1
100uF,C1,CP_Radial_D8.0mm_P5.00mm,,1
AMASS_XT30,BATT1,AMASS_XT30U-F_1x02_P5.0mm_Vertical,,1
10uF,C2,C_0402_1005Metric,,1
220R,R37,R_0402_1005Metric,,1
TERM2.54_01x10,PYRO_TERM1,TerminalBlock_TE_1-282834-0_1x10_P2.54mm_Horizontal,,1
DMG2301L,Q3,SOT-23,,1
100nF,C40,C_0402_1005Metric,,1
~,U12,SOT-353_SC-70-5,,1
10k,R1,R_Array_Convex_4x0402,,1
CM1624,U11,OnSemi_UDFN-16-1EP_1.35x3.3mm_P0.4mm_EP0.4x2.8mm,,1
Micro_SD_Card_Det2,J4,microSD_HC_Hirose_DM3AT-SF-PEJM5,,1
10k,R24,R_0402_1005Metric,,1
W25Q128JVS,U10,SOIC-8_5.3x5.3mm_P1.27mm,,1
32.768khz,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,,1
USBLC6-2SC6,U14,SOT-23-6,,1
ASE-25.000MHZ,Y4,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,,1
10uF,C17,C_0402_1005Metric,,1
100nF,C16,C_0402_1005Metric,,1
100nF,C20,C_0402_1005Metric,,1
1uF,C10,C_0402_1005Metric,,1
220pF,C12,C_0402_1005Metric,,1
2.2uF,C13,C_0402_1005Metric,,1
2.2uF,C15,C_0402_1005Metric,,1
4.7uF,C11,C_0402_1005Metric,,1
2.2uF,C14,C_0402_1005Metric,,1
100nF,C19,C_0402_1005Metric,,1
100nF,C18,C_0402_1005Metric,,1
100nF,C22,C_0402_1005Metric,,1
100nF,C27,C_0402_1005Metric,,1
100nF,C24,C_0402_1005Metric,,1
100nF,C32,C_0402_1005Metric,,1
100nF,C21,C_0402_1005Metric,,1
100nF,C23,C_0402_1005Metric,,1
100nF,C25,C_0402_1005Metric,,1
100nF,C26,C_0402_1005Metric,,1
100nF,C29,C_0402_1005Metric,,1
100nF,C30,C_0402_1005Metric,,1
100nF,C31,C_0402_1005Metric,,1
100nF,C28,C_0402_1005Metric,,1
100nF,C41,C_0402_1005Metric,,1
4.7uF,C36,C_0402_1005Metric,,1
1.5pF,C37,C_0402_1005Metric,,1
100nF,C33,C_0402_1005Metric,,1
100nF,C34,C_0402_1005Metric,,1
100nF,C35,C_0402_1005Metric,,1
1.5pF,C38,C_0402_1005Metric,,1
100nF,C51,C_0402_1005Metric,,1
2.2uH,L3,L_0603_1608Metric,,1
100nF,C50,C_0402_1005Metric,,1
USB_C_Receptacle_USB2.0_16P,J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,,1
1608KF-601T03,L1,L_0603_1608Metric,,1
FBMJ1608HM180NTR,L2,L_0603_1608Metric,,1
10k,R9,R_0402_1005Metric,,1
47R1%,R4,R_0402_1005Metric,,1
10k,R5,R_0402_1005Metric,,1
10k,R6,R_0402_1005Metric,,1
51,R8,R_0402_1005Metric,,1
5.1k,R17,R_0402_1005Metric,,1
5.1k,R13,R_0402_1005Metric,,1
10k,R23,R_0402_1005Metric,,1
STM32H747IITx,U2,LQFP-176_24x24mm_P0.5mm,,1
100nF,C39,C_0402_1005Metric,,1
SW_Omron_B3FS,SW1,SW_SPST_FSMSM,,1
SW_Nidec_CAS-120A1,SW2,Nidec_Copal_CAS-120A,,1
AP1117-33,U7,SOT-223-3_TabPin2,,1
10uF,C4,C_0402_1005Metric,,1
10uF,C5,C_0402_1005Metric,,1
10uF,C9,C_0402_1005Metric,,1
10uF,C8,C_0402_1005Metric,,1
10uF,C6,C_0402_1005Metric,,1
10uF,C7,C_0402_1005Metric,,1
MBR0540,D1,D_SOD-123,,1
MBR0540,D2,D_SOD-123,,1
10k,R2,R_0402_1005Metric,,1
AP1117-50,U6,SOT-223-3_TabPin2,,1
SN74LV1T34DCK,U17,SOT-353_SC-70-5,,1
WS2812B-2020,NEOPIX1,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
TERM2.54_01x04,ARM1,TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal,,1
JST_XH_B3B-XH-AM,PWM0,PinHeader_1x03_P2.54mm_Vertical,,1
JST_XH_B3B-XH-AM,PWM3,PinHeader_1x03_P2.54mm_Vertical,,1
JST_XH_B3B-XH-AM,PWM2,PinHeader_1x03_P2.54mm_Vertical,,1
JST_XH_B3B-XH-AM,PWM1,PinHeader_1x03_P2.54mm_Vertical,,1
32.768khz,Y3,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,,1
JST_GH_SM02B,VIDEO1,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,,1
MAX17049,U15,TDFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.2mm,,1
USBLC6-4SC6,U9,SOT-23-6,,1
FXMA108,U5,WQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x2.9mm,,1
ICM-45686,U4,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,,1
LIS2MDL,U3,LGA-12_2x2mm_P0.5mm,,1
