Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
3V3_PWR1,LED,LED_0603_1608Metric,68.5025,-105.4,0.0,top
5V_PWR1,LED,LED_0603_1608Metric,69.19,-100.71,0.0,top
ARM1,TERM2.54_01x04,TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal,44.0,-106.39,-90.0,top
BATT1,AMASS_XT30,AMASS_XT30U-F_1x02_P5.0mm_Vertical,72.55,-116.0,0.0,top
BZ1,Buzzer,Buzzer_CUI_CPT-9019S-SMT,71.9,-88.8,-90.0,top
C1,100uF,CP_Radial_D8.0mm_P5.00mm,74.4,-107.902651,90.0,top
C10,1uF,C_0402_1005Metric,59.100001,-66.55,45.0,bottom
C11,4.7uF,C_0402_1005Metric,77.271518,-45.59636,45.0,bottom
C12,220pF,C_0402_1005Metric,78.610929,-46.935771,45.0,bottom
C13,2.2uF,C_0402_1005Metric,80.560589,-56.889411,135.0,bottom
C14,2.2uF,C_0402_1005Metric,65.960589,-71.289411,315.0,bottom
C15,2.2uF,C_0402_1005Metric,55.160589,-62.671178,225.0,bottom
C16,100nF,C_0402_1005Metric,55.9,-61.95,225.0,bottom
C17,10uF,C_0402_1005Metric,67.439411,-39.689411,225.0,bottom
C18,100nF,C_0402_1005Metric,68.239411,-38.889411,225.0,bottom
C19,100nF,C_0402_1005Metric,75.810928,-48.735771,225.0,bottom
C2,10uF,C_0402_1005Metric,68.5,-108.7,90.0,top
C20,100nF,C_0402_1005Metric,56.5,-64.15,45.0,bottom
C21,100nF,C_0402_1005Metric,51.839411,-59.489412,225.0,bottom
C22,100nF,C_0402_1005Metric,49.3,-56.95,225.0,bottom
C23,100nF,C_0402_1005Metric,49.439412,-51.010589,135.0,bottom
C24,100nF,C_0402_1005Metric,50.839412,-49.610589,135.0,bottom
C25,100nF,C_0402_1005Metric,54.16059,-46.289411,135.0,bottom
C26,100nF,C_0402_1005Metric,56.3,-44.15,135.0,bottom
C27,100nF,C_0402_1005Metric,62.439411,-38.010589,135.0,bottom
C28,100nF,C_0402_1005Metric,66.260589,-36.860589,45.0,bottom
